REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,FUEL,YEAR,VALUE
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2042,125.293838817443
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2043,133.044529815176
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2044,133.564393518826
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2045,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2046,139.31081256039
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2047,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2048,140.658040799381
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2049,142.079191220472
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2050,140.623388725287
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2051,140.813016018719
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2052,140.902160281352
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2053,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2054,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2055,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2056,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2057,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2058,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2059,142.36950529583
"REGION1","S01B1","SEBMSTPH3",1,"SEE1",2060,136.796411919905
"REGION1","S01B1","SECO00I00",1,"SECO",2015,13.010432258553
"REGION1","S01B1","SECO00I00",1,"SECO",2016,13.2450992933258
"REGION1","S01B1","SECO00I00",1,"SECO",2017,14.4078341622604
"REGION1","S01B1","SECO00I00",1,"SECO",2018,15.4465082601251
"REGION1","S01B1","SECO00I00",1,"SECO",2019,13.1176036846734
"REGION1","S01B1","SECO00I00",1,"SECO",2021,16.2394109734907
"REGION1","S01B1","SECO00I00",1,"SECO",2022,18.7062901878181
"REGION1","S01B1","SECO00I00",1,"SECO",2023,18.89208
"REGION1","S01B1","SECO00I00",1,"SECO",2024,22.3666937457606
"REGION1","S01B1","SECO00I00",1,"SECO",2025,12.9573641063155
"REGION1","S01B1","SECO00I00",1,"SECO",2026,10.2085529117074
"REGION1","S01B1","SECO00I00",1,"SECO",2027,15.8807128890415
"REGION1","S01B1","SECO00I00",1,"SECO",2028,14.1001028470674
"REGION1","S01B1","SECO00I00",1,"SECO",2029,15.0798888914378
"REGION1","S01B1","SECO00I00",1,"SECO",2030,15.9506008617852
"REGION1","S01B1","SECO00I00",1,"SECO",2031,4.88697685269971
"REGION1","S01B1","SECO00I00",1,"SECO",2032,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2033,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2034,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2035,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2036,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2037,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2038,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2039,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2040,4.91027284361428
"REGION1","S01B1","SECO00I00",1,"SECO",2041,4.92139939505927
"REGION1","S01B1","SECO00I00",1,"SECO",2042,4.94469538597383
"REGION1","S01B1","SECO00I00",1,"SECO",2043,4.96992247049676
"REGION1","S01B1","SECO00I00",1,"SECO",2044,4.99202949964
"REGION1","S01B1","SECO00I00",1,"SECO",2045,5.01651445232589
"REGION1","S01B1","SECO00I00",1,"SECO",2046,5.03981044324045
"REGION1","S01B1","SECO00I00",1,"SECO",2047,5.06310643415501
"REGION1","S01B1","SECO00I00",1,"SECO",2048,5.08640242506957
"REGION1","S01B1","SECO00I00",1,"SECO",2049,5.10969841598414
"REGION1","S01B1","SECO00I00",1,"SECO",2050,5.1329944068987
"REGION1","S01B1","SECO00I00",1,"SECO",2051,5.15629039781327
"REGION1","S01B1","SECO00I00",1,"SECO",2052,5.17958638872783
"REGION1","S01B1","SECO00I00",1,"SECO",2053,5.20288237964239
"REGION1","S01B1","SECO00I00",1,"SECO",2054,5.22617837055696
"REGION1","S01B1","SECO00I00",1,"SECO",2055,5.24947436147152
"REGION1","S01B1","SECO00I00",1,"SECO",2056,5.00138233137454
"REGION1","S01B1","SECO00I00",1,"SECO",2057,4.95832487575422
"REGION1","S01B1","SECO00I00",1,"SECO",2058,4.98724514878058
"REGION1","S01B1","SECO00I00",1,"SECO",2059,5.0064285351356
"REGION1","S01B1","SECO00I00",1,"SECO",2060,5.01722289193157
"REGION1","S01B1","SECO00X00",1,"SECO",2015,5.56968358186997
"REGION1","S01B1","SECO00X00",1,"SECO",2016,8.27994992659938
"REGION1","S01B1","SECO00X00",1,"SECO",2017,7.07947603044604
"REGION1","S01B1","SECO00X00",1,"SECO",2018,6.28896892123215
"REGION1","S01B1","SECO00X00",1,"SECO",2019,5.40204039505639
"REGION1","S01B1","SECO00X00",1,"SECO",2020,4.06658910061982
"REGION1","S01B1","SECO00X00",1,"SECO",2021,7.44498902650928
"REGION1","S01B1","SECO00X00",1,"SECO",2022,4.57972292000451
"REGION1","S01B1","SECO00X00",1,"SECO",2025,9.6946132984172
"REGION1","S01B1","SECO00X00",1,"SECO",2026,5.64886398641951
"REGION1","S01B1","SECO00X00",1,"SECO",2028,1.80390603288865
"REGION1","S01B1","SECO00X00",1,"SECO",2029,0.847415979432834
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2015,484.527389983115
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2016,491.04645784583
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2017,496.50230961825
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2018,501.98699070031
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2019,495.217228940149
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2020,510.864309161817
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2021,516.873977217384
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2022,520.223105851488
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2023,522.423119710627
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2024,526.896300450652
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2025,530.970337794306
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2026,538.063083828894
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2027,541.950243515686
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2028,545.840941261577
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2029,549.735237546211
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2030,553.714130476069
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2031,563.019554891234
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2032,566.462266228309
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2033,569.956895924022
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2034,573.458534402566
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2035,576.964111132766
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2036,581.179867561818
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2037,585.193883730317
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2038,589.209950559669
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2039,593.217423247253
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2040,597.037350972445
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2041,602.674558834055
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2042,608.322260485199
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2043,613.975644401158
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2044,619.631409391026
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2045,625.293827471942
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2046,630.373407964463
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2047,635.457335562168
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2048,640.545610265056
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2049,645.638542580641
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2050,650.736132508923
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2051,653.671576698287
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2052,656.621387191074
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2053,659.585253479768
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2054,662.56526404953
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2055,665.558596680134
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2056,663.083331303237
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2057,665.058391582529
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2058,668.003635802155
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2059,670.770051510457
"REGION1","S01B1","SEEL00TD0",1,"SEE2",2060,669.64389923761
"REGION1","S01B1","SEGO00X00",1,"SEGO",2024,0.0352572494075675
"REGION1","S01B1","SEGO00X00",1,"SEGO",2026,0.0793288111670268
"REGION1","S01B1","SEGO00X00",1,"SEGO",2027,0.114586271100828
"REGION1","S01B1","SEGO00X00",1,"SEGO",2028,0.148504740940124
"REGION1","S01B1","SEGO00X00",1,"SEGO",2029,0.185100980442197
"REGION1","S01B1","SEGO00X00",1,"SEGO",2030,0.220357808797297
"REGION1","S01B1","SEGO00X00",1,"SEGO",2031,0.255614637152397
"REGION1","S01B1","SEGO00X00",1,"SEGO",2032,0.290872518138664
"REGION1","S01B1","SEGO00X00",1,"SEGO",2033,0.326129346493766
"REGION1","S01B1","SEGO00X00",1,"SEGO",2034,0.361387227480034
"REGION1","S01B1","SEGO00X00",1,"SEGO",2035,0.396644055835135
"REGION1","S01B1","SEGO00X00",1,"SEGO",2036,0.431900884190234
"REGION1","S01B1","SEGO00X00",1,"SEGO",2037,0.467158765176503
"REGION1","S01B1","SEGO00X00",1,"SEGO",2038,0.502415593531603
"REGION1","S01B1","SEGO00X00",1,"SEGO",2039,0.264635502425565
"REGION1","S01B1","SEGO00X00",1,"SEGO",2040,0.572930302872972
"REGION1","S01B1","SEGO00X00",1,"SEGO",2041,0.599373450454881
"REGION1","S01B1","SEGO00X00",1,"SEGO",2042,0.273794840161542
"REGION1","S01B1","SEGO00X00",1,"SEGO",2043,0.652258692987531
"REGION1","S01B1","SEGO00X00",1,"SEGO",2044,0.67870184056944
"REGION1","S01B1","SEGO00X00",1,"SEGO",2045,0.705144988151349
"REGION1","S01B1","SEGO00X00",1,"SEGO",2046,0.713959721555708
"REGION1","S01B1","SEGO00X00",1,"SEGO",2047,0.72277340232852
"REGION1","S01B1","SEGO00X00",1,"SEGO",2048,0.731588135733259
"REGION1","S01B1","SEGO00X00",1,"SEGO",2049,0.74040181650645
"REGION1","S01B1","SEGO00X00",1,"SEGO",2050,0.749216549910809
"REGION1","S01B1","SEGO00X00",1,"SEGO",2051,0.603002397943821
"REGION1","S01B1","SEGO00X00",1,"SEGO",2052,0.764275491406243
"REGION1","S01B1","SEGO00X00",1,"SEGO",2053,0.771918646320149
"REGION1","S01B1","SEGO00X00",1,"SEGO",2054,0.779637590678182
"REGION1","S01B1","SEGO00X00",1,"SEGO",2055,0.787434429742678
"REGION1","S01B1","SEGO00X00",1,"SEGO",2056,0.79530811088244
"REGION1","S01B1","SEGO00X00",1,"SEGO",2057,0.803261791990139
"REGION1","S01B1","SEGO00X00",1,"SEGO",2058,0.811294420437281
"REGION1","S01B1","SEGO00X00",1,"SEGO",2059,0.819407048852301
"REGION1","S01B1","SEGO00X00",1,"SEGO",2060,0.827600729867295
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2024,0.00834129818506244
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2026,0.0188313629304126
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2027,0.0272469595790311
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2028,0.0353722521139603
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2029,0.0441639857707771
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2030,0.0526655215691061
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2031,0.0612172914941089
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2032,0.0698046576365602
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2033,0.0784270188135201
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2034,0.0870854565232141
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2035,0.0957792867904307
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2036,0.10450917428248
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2037,0.113275873692194
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2038,0.122078574352049
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2039,0.0644363313778332
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2040,0.139795016268208
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2041,0.146541418110153
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2042,0.0670753424046504
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2043,0.160115741576399
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2044,0.166944252176749
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2045,0.173800465874665
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2046,0.176330760229912
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2047,0.178871101238359
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2048,0.18142207248402
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2049,0.183983216047166
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2050,0.186555118676217
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2051,0.150297827281269
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2052,0.190685594806001
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2053,0.192785430259051
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2054,0.19490842312743
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2055,0.197054676839124
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2056,0.199223981503605
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2057,0.20141768688131
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2058,0.203635602072585
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2059,0.205878064363933
"REGION1","S01B1","SEGOCVPH2",1,"SEE1",2060,0.20814488890246
"REGION1","S01B1","SEHF00I00",1,"SEHF",2015,14.8934644730921
"REGION1","S01B1","SEHF00I00",1,"SEHF",2016,15.2925425239168
"REGION1","S01B1","SEHF00I00",1,"SEHF",2017,15.7023004454459
"REGION1","S01B1","SEHF00I00",1,"SEHF",2018,16.1230385503883
"REGION1","S01B1","SEHF00I00",1,"SEHF",2019,9.63531676650734
"REGION1","S01B1","SEHF00I00",1,"SEHF",2020,16.9976993145886
"REGION1","S01B1","SEHF00I00",1,"SEHF",2021,17.1846815148668
"REGION1","S01B1","SEHF00I00",1,"SEHF",2022,17.3737095954733
"REGION1","S01B1","SEHF00I00",1,"SEHF",2023,17.5648210954966
"REGION1","S01B1","SEHF00I00",1,"SEHF",2024,17.7580347844811
"REGION1","S01B1","SEHF00I00",1,"SEHF",2025,17.9533694319711
"REGION1","S01B1","SEHF00I00",1,"SEHF",2026,18.1508625770551
"REGION1","S01B1","SEHF00I00",1,"SEHF",2027,18.3505142197332
"REGION1","S01B1","SEHF00I00",1,"SEHF",2028,18.552361899094
"REGION1","S01B1","SEHF00I00",1,"SEHF",2029,18.756443154226
"REGION1","S01B1","SEHF00I00",1,"SEHF",2030,18.962682906952
"REGION1","S01B1","SEHF00I00",1,"SEHF",2031,19.1714002395251
"REGION1","S01B1","SEHF00I00",1,"SEHF",2032,19.3821822219708
"REGION1","S01B1","SEHF00I00",1,"SEHF",2033,19.595404245175
"REGION1","S01B1","SEHF00I00",1,"SEHF",2034,19.8110663091377
"REGION1","S01B1","SEHF00I00",1,"SEHF",2035,20.028980718416
"REGION1","S01B1","SEHF00I00",1,"SEHF",2036,20.2493351684527
"REGION1","S01B1","SEHF00I00",1,"SEHF",2037,20.5069094278525
"REGION1","S01B1","SEHF00I00",1,"SEHF",2038,20.7653225948829
"REGION1","S01B1","SEHF00I00",1,"SEHF",2039,21.02064716679
"REGION1","S01B1","SEHF00I00",1,"SEHF",2040,21.1549656807417
"REGION1","S01B1","SEHF00I00",1,"SEHF",2041,21.3877080300139
"REGION1","S01B1","SEHF00I00",1,"SEHF",2042,21.6228904200446
"REGION1","S01B1","SEHF00I00",1,"SEHF",2043,21.8608882417197
"REGION1","S01B1","SEHF00I00",1,"SEHF",2044,22.1013261041533
"REGION1","S01B1","SEHF00I00",1,"SEHF",2045,22.3443917027884
"REGION1","S01B1","SEHF00I00",1,"SEHF",2046,22.5902727330679
"REGION1","S01B1","SEHF00I00",1,"SEHF",2047,22.8387814995488
