REGION,TIMESLICE,FUEL,YEAR,VALUE
"REGION1","S01B3","SEE2",2033,12.6880428675
"REGION1","S01B3","SEE2",2034,12.75867411
"REGION1","S01B3","SEE2",2035,12.8293053525
"REGION1","S01B3","SEE2",2036,12.9111234525
"REGION1","S01B3","SEE2",2037,12.992966805
"REGION1","S01B3","SEE2",2038,13.0748101575
"REGION1","S01B3","SEE2",2039,13.1566282575
"REGION1","S01B3","SEE2",2040,13.23847161
"REGION1","S01B3","SEE2",2041,13.36534017
"REGION1","S01B3","SEE2",2042,13.49220873
"REGION1","S01B3","SEE2",2043,13.61907729
"REGION1","S01B3","SEE2",2044,13.74594585
"REGION1","S01B3","SEE2",2045,13.8728396625
"REGION1","S01B3","SEE2",2046,13.98554157
"REGION1","S01B3","SEE2",2047,14.0982434775
"REGION1","S01B3","SEE2",2048,14.210945385
"REGION1","S01B3","SEE2",2049,14.3236472925
"REGION1","S01B3","SEE2",2050,14.4363492
"REGION1","S01B3","SEE2",2051,14.49665217
"REGION1","S01B3","SEE2",2052,14.5571824125
"REGION1","S01B3","SEE2",2053,14.6179399275
"REGION1","S01B3","SEE2",2054,14.67897522
"REGION1","S01B3","SEE2",2055,14.7402125325
"REGION1","S01B3","SEE2",2056,14.78634885
"REGION1","S01B3","SEE2",2057,14.83261143
"REGION1","S01B3","SEE2",2058,14.879025525
"REGION1","S01B3","SEE2",2059,14.9255658825
"REGION1","S01B3","SEE2",2060,14.972257755
"REGION1","S02B1","SEE2",2015,10.6340100294
"REGION1","S02B1","SEE2",2016,10.7449873262
"REGION1","S02B1","SEE2",2017,10.8559888116
"REGION1","S02B1","SEE2",2018,10.966990297
"REGION1","S02B1","SEE2",2019,11.0779675938
"REGION1","S02B1","SEE2",2020,11.1889690792
"REGION1","S02B1","SEE2",2021,11.2588499446
"REGION1","S02B1","SEE2",2022,11.32873081
"REGION1","S02B1","SEE2",2023,11.3986116754
"REGION1","S02B1","SEE2",2024,11.4684925408
"REGION1","S02B1","SEE2",2025,11.5383734062
"REGION1","S02B1","SEE2",2026,11.620808155
"REGION1","S02B1","SEE2",2027,11.7032429038
"REGION1","S02B1","SEE2",2028,11.7856776526
"REGION1","S02B1","SEE2",2029,11.8681124014
"REGION1","S02B1","SEE2",2030,11.9505471502
"REGION1","S02B1","SEE2",2031,12.0182026644
"REGION1","S02B1","SEE2",2032,12.0858581786
"REGION1","S02B1","SEE2",2033,12.1534895042
"REGION1","S02B1","SEE2",2034,12.2211450184
"REGION1","S02B1","SEE2",2035,12.2888005326
"REGION1","S02B1","SEE2",2036,12.3671715966
"REGION1","S02B1","SEE2",2037,12.4455668492
"REGION1","S02B1","SEE2",2038,12.5239621018
"REGION1","S02B1","SEE2",2039,12.6023331658
"REGION1","S02B1","SEE2",2040,12.6807284184
"REGION1","S02B1","SEE2",2041,12.8022519448
"REGION1","S02B1","SEE2",2042,12.9237754712
"REGION1","S02B1","SEE2",2043,13.0452989976
"REGION1","S02B1","SEE2",2044,13.166822524
"REGION1","S02B1","SEE2",2045,13.288370239
"REGION1","S02B1","SEE2",2046,13.3963239608
"REGION1","S02B1","SEE2",2047,13.5042776826
"REGION1","S02B1","SEE2",2048,13.6122314044
"REGION1","S02B1","SEE2",2049,13.7201851262
"REGION1","S02B1","SEE2",2050,13.828138848
"REGION1","S02B1","SEE2",2051,13.8859012248
"REGION1","S02B1","SEE2",2052,13.943881299
"REGION1","S02B1","SEE2",2053,14.0020790706
"REGION1","S02B1","SEE2",2054,14.0605429168
"REGION1","S02B1","SEE2",2055,14.1192002718
"REGION1","S02B1","SEE2",2056,14.163392844
"REGION1","S02B1","SEE2",2057,14.2077063592
"REGION1","S02B1","SEE2",2058,14.252165006
"REGION1","S02B1","SEE2",2059,14.2967445958
"REGION1","S02B1","SEE2",2060,14.3414693172
"REGION1","S02B2","SEE2",2015,33.4107488904
"REGION1","S02B2","SEE2",2016,33.7594258792
"REGION1","S02B2","SEE2",2017,34.1081788656
"REGION1","S02B2","SEE2",2018,34.456931852
"REGION1","S02B2","SEE2",2019,34.8056088408
"REGION1","S02B2","SEE2",2020,35.1543618272
"REGION1","S02B2","SEE2",2021,35.3739188936
"REGION1","S02B2","SEE2",2022,35.59347596
"REGION1","S02B2","SEE2",2023,35.8130330264
"REGION1","S02B2","SEE2",2024,36.0325900928
"REGION1","S02B2","SEE2",2025,36.2521471592
"REGION1","S02B2","SEE2",2026,36.51114698
"REGION1","S02B2","SEE2",2027,36.7701468008
"REGION1","S02B2","SEE2",2028,37.0291466216
"REGION1","S02B2","SEE2",2029,37.2881464424
"REGION1","S02B2","SEE2",2030,37.5471462632
"REGION1","S02B2","SEE2",2031,37.7597115504
"REGION1","S02B2","SEE2",2032,37.9722768376
"REGION1","S02B2","SEE2",2033,38.1847661272
"REGION1","S02B2","SEE2",2034,38.3973314144
"REGION1","S02B2","SEE2",2035,38.6098967016
"REGION1","S02B2","SEE2",2036,38.8561289256
"REGION1","S02B2","SEE2",2037,39.1024371472
"REGION1","S02B2","SEE2",2038,39.3487453688
"REGION1","S02B2","SEE2",2039,39.5949775928
"REGION1","S02B2","SEE2",2040,39.8412858144
"REGION1","S02B2","SEE2",2041,40.2230977568
"REGION1","S02B2","SEE2",2042,40.6049096992
"REGION1","S02B2","SEE2",2043,40.9867216416
"REGION1","S02B2","SEE2",2044,41.368533584
"REGION1","S02B2","SEE2",2045,41.750421524
"REGION1","S02B2","SEE2",2046,42.0895988128
"REGION1","S02B2","SEE2",2047,42.4287761016
"REGION1","S02B2","SEE2",2048,42.7679533904
"REGION1","S02B2","SEE2",2049,43.1071306792
"REGION1","S02B2","SEE2",2050,43.446307968
"REGION1","S02B2","SEE2",2051,43.6277902368
